id advisor time name
1 2 8 Emily
2 1 12 Ethan
3 1 7 Olivia
4 2 11 William
5 1 12 Mia
6 1 6 Benjamin
7 2 10 Harper
8 2 12 Ava
9 2 8 Liam
10 1 8 Charlotte
11 2 5 Elijah
12 2 11 Mia
13 2 11 James
14 1 10 Ava
15 2 6 Olivia
16 2 6 Sophia
17 1 8 Emma
18 1 12 Elijah
19 1 8 Henry
20 1 12 Charlotte
21 2 10 Amelia
22 2 7 Mason
23 1 9 Harper
24 2 9 Sophia
25 1 7 Liam
26 1 11 Benjamin
27 2 9 Isabella
28 1 5 Ethan
29 1 6 Harper
30 1 10 Amelia
31 2 9 Amelia
32 2 7 Ava
33 2 7 William
34 2 6 Emma
35 2 11 William
36 1 9 Harper
37 1 8 Benjamin
38 2 8 Olivia
39 2 5 Sophia
40 1 9 Noah
41 1 5 Emma
42 1 8 Emma
43 2 9 Ava
44 1 9 Charlotte
45 1 6 Harper
46 1 11 Noah
47 2 10 Mia
48 2 8 Mia
49 2 8 Harper
50 2 8 Sophia
51 2 10 Noah
52 2 8 Isabella
53 1 9 Benjamin
54 1 7 Emma
55 1 12 Liam
56 1 11 Emma
57 2 8 Ethan
58 1 9 William
59 1 8 Sophia
60 1 9 Ava
61 2 7 Harper
62 2 10 Benjamin
63 1 12 Harper
64 1 9 William
65 1 8 Olivia
66 1 10 Noah
67 1 7 Isabella
68 1 7 Mia
69 1 7 Olivia
70 2 8 Charlotte
71 2 8 Mia
72 2 9 Mason
73 2 9 Benjamin
74 2 11 Liam
75 1 8 Sophia
76 2 9 Noah
77 2 10 Olivia
78 1 9 Amelia
79 1 7 Mason
80 1 11 Emma
81 1 12 Liam
82 1 8 Ava
83 2 6 Harper
84 1 12 Amelia
85 2 10 Ava
86 2 10 Ava
87 1 12 William
88 2 9 Ava
89 2 8 Emma
90 1 6 Benjamin
91 1 10 Emma
92 2 10 Harper
93 2 9 Ava
94 1 9 William
95 1 10 Noah
96 1 8 Benjamin
97 1 6 Mia
98 1 11 Ava
99 1 11 Mason
100 1 8 Emma
